trade_id,strategy,profit,slippage,execution_time
1,A,150,0.02,120
2,A,-50,0.05,200
3,B,200,0.01,110
4,B,-20,0.03,150
5,A,180,0.02,130
6,B,50,0.01,100
7,A,-30,0.06,250
8,B,90,0.02,180
9,A,140,0.03,170
10,B,220,0.01,90
11,A,130,0.02,140
12,B,-60,0.04,210
13,A,170,0.03,160
14,B,80,0.02,120
15,A,-20,0.05,190
16,B,210,0.01,95
17,A,160,0.02,145
18,B,-40,0.04,220
19,A,190,0.03,135
20,B,100,0.02,115
21,A,-10,0.05,185
22,B,230,0.01,105
23,A,140,0.02,175
24,B,-70,0.04,230
25,A,180,0.03,125
26,B,90,0.02,160
27,A,150,0.02,140
28,B,-30,0.05,205
29,A,200,0.03,150
30,B,120,0.02,110
31,A,130,0.02,180
32,B,-50,0.04,240
33,A,160,0.03,130
34,B,110,0.02,140
35,A,-40,0.06,270
36,B,250,0.01,85
37,A,170,0.02,155
38,B,-60,0.04,225
39,A,180,0.03,140
40,B,90,0.02,100
41,A,-30,0.05,200
42,B,200,0.01,120
